 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Procedimento: 0102010501 ATIVIDADES EDUCATIVAS SOBRE A TEMÁTICA DA DENGUE,REALIZADAS PARA A POPULAÇÃO, 0213010119 HISTOPATOLOGIA P/ IDENTIFICACAO DE DENGUE, 0213010330 IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA DENGUE, 0213010380 ISOLAMENTO DO VIRUS DA DENGUE, 0213010674 TESTE DE HIBRIDIZACAO IN SITU P/ IDENTIFICACAO DO VIRUS DA DENGUE, 0214010120 TESTE RÁPIDO PARA DENGUE IGG/IGM, 0303010010 TRATAMENTO DE DENGUE CLÁSSICA, 0303010029 TRATAMENTO DE DENGUE HEMORRÁGICA
Período:2019-2020
"Unidade da Federação";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"26 Pernambuco";22221,25;32806,45;44112,36;85558,37;133806,37;128275,52;109416,31;97227,89;60757,41;36276,64;19952,06;13627,73;10487,27;21973,33;43227,46;17678,16;21822,10;27722,36;30569,26;15060,07;9213,34;8208,11;12215,37;8372,17;1010587,36
"27 Alagoas";3559,19;10462,80;18679,64;22683,97;60211,97;100322,22;110306,86;83359,82;59285,24;58889,07;30459,52;17352,56;26402,17;8604,50;6181,09;25060,66;11845,48;7354,48;13285,43;7629,53;8528,71;5035,92;16948,08;866,06;713314,97
"28 Sergipe";1223,81;340,03;3081,31;5654,81;18684,05;37253,08;54295,26;59120,42;93198,07;84311,65;33655,21;21467,82;17219,17;11151,81;12077,27;5902,60;6728,03;4587,77;2546,25;1592,81;2909,63;1541,54;1345,39;287,76;480175,55
"29 Bahia";25507,95;42690,00;48889,83;89658,80;186368,00;217538,44;199013,36;164923,65;109147,22;86954,19;70324,95;66437,63;67724,60;117958,46;142743,82;145273,30;174210,93;148845,57;97912,25;68257,48;36222,71;25429,24;12899,29;13340,58;2358272,25
"31 Minas Gerais";111092,32;222785,35;429094,49;821057,92;1135300,36;880640,69;400999,20;147318,57;128335,65;39772,23;31597,38;31511,74;116560,66;195415,65;207466,20;184535,79;166310,27;106267,47;64350,76;37422,40;11374,35;14748,87;9718,88;14680,36;5508357,56
"32 Espírito Santo";44871,37;41679,27;61606,12;83705,46;95536,46;119491,21;98009,68;79593,81;79433,13;46928,92;25543,53;28103,79;34398,37;59819,08;59500,38;72493,94;36877,04;16013,54;5282,17;4871,05;20681,08;4612,01;5324,91;2975,13;1127351,45
"33 Rio de Janeiro";12830,22;11597,56;17022,72;40789,35;47429,52;30029,35;27277,01;8990,53;7692,57;5315,70;8076,97;5551,78;10890,51;15742,66;13412,62;17758,75;6324,52;4724,46;1319,40;1506,86;3533,07;303,76;617,93;1250,09;299987,91
"35 São Paulo";121204,08;342036,69;563208,44;876361,98;1098810,12;669064,89;279716,66;112514,47;68443,37;49422,59;47757,13;73766,17;326202,22;592592,07;671406,85;356531,74;211263,02;84794,94;49573,38;22788,05;22890,18;22745,74;17603,32;16028,07;6696726,17
"41 Paraná";4766,91;14530,11;37466,61;86846,35;110803,00;89746,51;78605,73;41569,94;22256,01;23243,48;16815,97;58391,35;151603,62;418298,59;576935,68;480857,35;600365,47;299675,20;95715,33;91103,40;18242,17;14953,58;26307,11;12220,56;3371320,03
"42 Santa Catarina";2652,03;3816,33;8811,44;5453,69;12241,38;4284,51;3593,80;2746,06;2764,49;1443,19;575,52;2035,77;3770,73;5832,07;11997,83;18348,64;14478,51;6602,42;3490,00;774,91;-;1707,75;895,28;3176,96;121493,31
"43 Rio Grande do Sul";1228,99;592,93;2118,32;2186,22;14124,92;10307,80;2981,79;-;8048,50;325,71;-;1049,41;2366,75;4647,21;8094,19;16057,78;12031,90;14076,24;2314,64;1419,09;989,23;303,76;287,76;629,47;106182,61
"50 Mato Grosso do Sul";31530,03;41427,88;69227,79;203644,45;281559,67;224439,26;180138,45;96856,88;35030,15;22939,74;14579,35;27347,22;108371,88;193053,54;296726,00;290143,77;181490,69;125816,28;61086,44;26105,07;18090,52;7352,40;6571,79;19793,45;2563322,70
"51 Mato Grosso";13613,57;21109,06;19211,96;25316,67;36877,30;33934,74;26887,24;20809,07;11678,88;12792,48;15381,69;37749,69;68994,29;111108,67;94854,63;85447,85;83986,81;57360,91;29964,96;37421,32;10589,88;8075,01;9555,73;7877,31;880599,72
"52 Goiás";177575,66;189334,14;234515,88;319602,25;422000,96;325157,35;140809,58;79107,70;42082,84;33590,11;23166,43;40704,60;73103,19;118516,30;156735,08;131886,62;117626,88;73122,39;34335,16;24458,65;9898,47;11161,78;9526,12;20305,15;2808323,29
"53 Distrito Federal";3890,84;11504,19;46033,86;51794,52;75605,73;79568,25;67669,17;48498,77;26272,28;9582,37;6025,08;10148,19;25866,92;38009,05;78174,83;86816,67;50460,44;59811,16;17518,58;19784,49;9403,06;7479,93;5616,22;23065,73;858600,33
"Total";702559,98;1161788,30;1833687,53;3073501,19;4251280,22;3444882,12;2152282,80;1324674,84;941409,14;652317,10;464416,16;562503,23;1226710,46;2155128,43;2636969,43;2140577,11;1845095,28;1191959,65;665457,24;456446,14;248244,27;173768,35;181789,37;216755,17;33704203,51
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
